"Source","Target","Weight"
15,103,94.6186290806973
15,140,9.48054596218872
16,21,18.1389176060941
16,23,317.356243576499
16,24,8.21537730791535
16,25,17.8431990779827
16,26,19.5007999756472
16,33,48.3805266520238
16,34,48.3805266520238
16,35,307.860120828006
16,36,11.8923172159475
16,38,317.356243576499
16,45,98.7600495892444
16,49,28.6634936532424
16,53,65.3670229404864
16,54,195.209568006787
16,66,7.82137128921128
16,67,23.4244373658458
16,68,3.95849143485773
16,69,30.0248828359419
16,71,61.682162806716
16,74,3.41501213155897
16,80,11.3809285486514
16,84,6.80355592119505
16,85,10.6979765289758
16,121,297.467370895332
16,124,223.79479346513
16,133,8.80761065391082
16,156,25.7456354070439
16,157,41.2018306485074
16,158,100.929289362452
16,159,32.0569540712206
16,160,317.356243576499
16,162,11.1183436042455
16,164,11.5562699146666
16,171,12.2300189758261
17,18,8.92993994581915
17,21,198.930275196762
17,23,52.1642048589364
17,24,317.356243576499
17,27,100.466533979658
17,28,9.39690578652321
17,45,317.356243576499
17,53,111.274769471702
17,54,22.1513205586547
17,55,7.12370588204527
17,69,317.356243576499
17,70,185.255159160565
17,76,317.356243576499
17,80,2.70819937293627
17,87,3.7635301728986
17,101,317.356243576499
17,154,19.508734588471
17,157,63.4842674720982
17,158,317.356243576499
17,169,317.356243576499
17,170,317.356243576499
17,172,5.81287833832808
18,21,56.3860885947116
18,25,87.8058955277698
18,26,201.596702059214
18,28,317.356243576499
18,45,3.71766931382144
18,49,38.1873045620347
18,50,28.979607687853
18,55,10.5444058401969
18,56,77.7473747640504
18,68,23.216362529855
18,69,317.356243576499
18,70,87.3118701054493
18,71,12.0982114359026
18,74,68.1778494144632
18,85,22.7592909926386
18,87,193.568208754682
18,99,15.8063725502613
18,113,220.835326887094
18,121,78.7450101752503
18,132,9.56711948004291
18,133,32.6586577483624
18,143,6.65557569013025
18,145,18.4491179662047
18,157,317.356243576499
18,170,8.7808589662041
19,24,317.356243576499
19,49,11.4856936872497
